EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG
 2018-02-06T00:00:00.000Z,0.99,-6.3,61.1
 2018-02-07T00:00:00.000Z,0.99,-6.4,62.1
 2018-02-08T00:00:00.000Z,0.99,-6.5,63.1
 2018-02-09T00:00:00.000Z,0.99,-6.5,64.1
 2018-02-10T00:00:00.000Z,0.99,-6.6,65.1
 2018-02-11T00:00:00.000Z,0.99,-6.6,66.2
 2018-02-12T00:00:00.000Z,0.98,-6.7,67.1
 2018-02-13T00:00:00.000Z,0.98,-6.7,68.1
 2018-02-14T00:00:00.000Z,0.98,-6.8,69.1
 2018-02-15T00:00:00.000Z,0.98,-6.8,70.1
 2018-02-16T00:00:00.000Z,0.99,-6.9,71.1
 2018-02-17T00:00:00.000Z,0.99,-6.9,72.1
 2018-02-18T00:00:00.000Z,0.99,-6.9,73.1
 2018-02-19T00:00:00.000Z,0.99,-7,74.1
 2018-02-20T00:00:00.000Z,0.99,-7,75.1
 2018-02-21T00:00:00.000Z,0.99,-7,76.1
 2018-02-22T00:00:00.000Z,0.99,-7.1,77.1
 2018-02-23T00:00:00.000Z,0.99,-7.1,78.1
 2018-02-24T00:00:00.000Z,0.99,-7.1,79.1
 2018-02-25T00:00:00.000Z,0.99,-7.1,80.1
 2018-02-26T00:00:00.000Z,0.99,-7.2,81.1
 2018-02-27T00:00:00.000Z,0.99,-7.2,82.2
 2018-02-28T00:00:00.000Z,0.99,-7.2,83.2
 2018-03-01T00:00:00.000Z,0.99,-7.2,84.3
 2018-03-02T00:00:00.000Z,0.99,-7.2,85.3
 2018-03-03T00:00:00.000Z,0.99,-7.2,86.3
 2018-03-04T00:00:00.000Z,0.99,-7.2,87.4
 2018-03-05T00:00:00.000Z,0.99,-7.2,88.4
 2018-03-06T00:00:00.000Z,0.99,-7.2,89.5
 2018-03-07T00:00:00.000Z,0.99,-7.2,90.5
 2018-03-08T00:00:00.000Z,0.99,-7.2,91.5
 2018-03-09T00:00:00.000Z,0.99,-7.2,92.5
 2018-03-10T00:00:00.000Z,0.99,-7.2,93.5
 2018-03-11T00:00:00.000Z,0.99,-7.2,94.5
 2018-03-12T00:00:00.000Z,0.99,-7.2,95.5
 2018-03-13T00:00:00.000Z,0.99,-7.2,96.5
 2018-03-14T00:00:00.000Z,0.99,-7.2,97.5
 2018-03-15T00:00:00.000Z,0.99,-7.2,98.5
